Sample	Rel.fitness.Comp	Strain	Media
CB1002	2.40327259	CB1002	Beer
CB1002	7.135271549	CB1002	Beer
CB1002	1.819772614	CB1002	Beer
CB1002	2.433931205	CB1002	Beer
CB1002	1.543491624	CB1002	Beer
CB1002	3.584454092	CB1002	Beer
CB1002	2.776669391	CB1002	Beer
CB1003	2.233417861	CB1003	Beer
CB1003	8.945040468	CB1003	Beer
CB1003	4.580584608	CB1003	Beer
CB1003	4.324091711	CB1003	Beer
CB1003	2.153298147	CB1003	Beer
CB1003	2.779410186	CB1003	Beer
CB1003	2.77867722	CB1003	Beer
CB1003	2.784073961	CB1003	Beer
CB1004	1.732743473	CB1004	Beer
CB1004	1.163683319	CB1004	Beer
CB1004	1.580382093	CB1004	Beer
CB1004	1.299804361	CB1004	Beer
CB1004	2.040773968	CB1004	Beer
CB1004	1.369470685	CB1004	Beer
CB1004	2.249800861	CB1004	Beer
CB1004	2.477624119	CB1004	Beer
CB1005	3.3292259	CB1005	Beer
CB1005	4.373047679	CB1005	Beer
CB1005	3.874350212	CB1005	Beer
CB1005	5.324155831	CB1005	Beer
CB1005	4.139784254	CB1005	Beer
CB1005	3.615788633	CB1005	Beer
CB1005	2.615613255	CB1005	Beer
CB1005	4.736745432	CB1005	Beer
CB1006	8.370477906	CB1006	Beer
CB1006	2.362479398	CB1006	Beer
CB1006	2.115279756	CB1006	Beer
CB1006	1.970673768	CB1006	Beer
CB1006	4.254294836	CB1006	Beer
CB1006	3.576625892	CB1006	Beer
CB1006	7.364118549	CB1006	Beer
CB1006	2.595971667	CB1006	Beer
SSD719	5.868550202	SSD719	Cana
SSD719	0.258985158	SSD719	Cana
SSD719	3.159034083	SSD719	Cana
SSD719	0.609499023	SSD719	Cana
SSD719	0.390127872	SSD719	Cana
SSD719	0.439511682	SSD719	Cana
SSD719	0.691099713	SSD719	Cana
SSD719	0.184141058	SSD719	Cana
CC1001	7.65232311	CC1001	Cana
CC1001	9.518336298	CC1001	Cana
CC1001	6.769352395	CC1001	Cana
CC1001	5.796378295	CC1001	Cana
CC1001	4.607719378	CC1001	Cana
CC1001	16.12353966	CC1001	Cana
CC1001	3.477520226	CC1001	Cana
CC1001	3.423581083	CC1001	Cana
CC1002	4.901212827	CC1002	Cana
CC1002	2.762521159	CC1002	Cana
CC1002	0.67583723	CC1002	Cana
CC1002	0.637993194	CC1002	Cana
CC1002	0.358209231	CC1002	Cana
CC1002	8.130398981	CC1002	Cana
CC1002	0.445809855	CC1002	Cana
CC1002	2.738834885	CC1002	Cana
CC1003	19.07553351	CC1003	Cana
CC1003	19.60622297	CC1003	Cana
CC1003	8.240563865	CC1003	Cana
CC1003	10.8546253	CC1003	Cana
CC1003	2.585542311	CC1003	Cana
CC1003	13.98464723	CC1003	Cana
CC1003	4.768942819	CC1003	Cana
CC1003	4.780376895	CC1003	Cana
CC1004	12.4113829	CC1004	Cana
CC1004	8.592876027	CC1004	Cana
CC1004	3.461907526	CC1004	Cana
CC1004	4.447691926	CC1004	Cana
CC1004	4.357909323	CC1004	Cana
CC1004	17.52314642	CC1004	Cana
CC1004	3.92309972	CC1004	Cana
CC1004	2.786869205	CC1004	Cana
CC1005	19.81373408	CC1005	Cana
CC1005	20.0954217	CC1005	Cana
CC1005	8.334796423	CC1005	Cana
CC1005	9.191269828	CC1005	Cana
CC1005	14.49751865	CC1005	Cana
CC1005	39.52784835	CC1005	Cana
CC1005	5.819450252	CC1005	Cana
CC1005	9.001104062	CC1005	Cana
CC1006	24.51644705	CC1006	Cana
CC1006	19.4039838	CC1006	Cana
CC1006	10.9903471	CC1006	Cana
CC1006	14.19666305	CC1006	Cana
CC1006	7.42701003	CC1006	Cana
CC1006	31.24077736	CC1006	Cana
CC1006	12.83768938	CC1006	Cana
CC1006	15.97373613	CC1006	Cana
SSD719	0.119016397	SSD719	Wine
SSD719	0.019961947	SSD719	Wine
SSD719	0.159194552	SSD719	Wine
SSD719	0.171032618	SSD719	Wine
SSD719	0.269553377	SSD719	Wine
SSD719	0.550507564	SSD719	Wine
SSD719	0.660082097	SSD719	Wine
SSD719	0.140649607	SSD719	Wine
CW1001	0.113110112	CW1001	Wine
CW1001	0.421768021	CW1001	Wine
CW1001	0.934171919	CW1001	Wine
CW1001	0.254761905	CW1001	Wine
CW1001	0.413969561	CW1001	Wine
CW1001	6.568896628	CW1001	Wine
CW1001	1.818979859	CW1001	Wine
